filename,type,size_bytes,note
77804.jpg,jpg,506851,Source visual; preserve original filename and content.
77805.jpg,jpg,516505,Source visual; preserve original filename and content.
77806.jpg,jpg,511032,Source visual; preserve original filename and content.
77807.jpg,jpg,521185,Source visual; preserve original filename and content.
77808.jpg,jpg,529013,Source visual; preserve original filename and content.
77809.jpg,jpg,507473,Source visual; preserve original filename and content.
77810.jpg,jpg,519967,Source visual; preserve original filename and content.
77811.jpg,jpg,486869,Source visual; preserve original filename and content.
77812.png,png,963296,Source visual; preserve original filename and content.
Perfect_Storm_Cyber_Physical_Control_Plane.png,png,3301056,Source visual; preserve original filename and content.
